date,mineral,Flow,Quantity,Volume
2022-03-01,Lithium, export,113647.0,5.54
2022-03-01,Lithium, import,55288122.0,168.82999999999998
2022-04-01,Copper, export,3948544.0,28.11
2022-04-01,Copper, import,98858454.0,318.9
2022-04-01,Graphite, export,46081.0,0.05
2022-04-01,Graphite, import,886951.0,0.64
2022-04-01,Lithium, export,45680.0,6.83
2022-04-01,Lithium, import,60417976.0,227.07
2022-05-01,Copper, export,3289902.0,20.49
2022-05-01,Copper, import,119658894.0,415.25
2022-05-01,Graphite, export,4204.0,0.01
2022-05-01,Graphite, import,1635580.0,1.08
2022-05-01,Lithium, export,90335.0,8.629999999999999
2022-05-01,Lithium, import,64840129.0,214.57999999999998
2022-06-01,Copper, export,4467657.0,20.66
2022-06-01,Copper, import,114229299.0,433.18
2022-06-01,Graphite, export,10850.0,0.01
2022-06-01,Graphite, import,1221472.0,1.02
2022-06-01,Lithium, export,89641.0,6.92
2022-06-01,Lithium, import,59623651.0,192.94
2022-07-01,Copper, export,3384433.0,15.9
2022-07-01,Copper, import,115011353.0,362.63
2022-07-01,Graphite, export,43803.0,0.04
2022-07-01,Graphite, import,1441939.0,1.07
2022-07-01,Lithium, export,137338.0,11.25
2022-07-01,Lithium, import,82311722.0,236.23999999999998
2022-08-01,Copper, export,2454021.0,10.8
2022-08-01,Copper, import,80808204.0,335.13
2022-08-01,Graphite, export,56808.0,0.05
2022-08-01,Graphite, import,1392767.0,1.26
2022-08-01,Lithium, export,344186.0,7.61
2022-08-01,Lithium, import,87846634.0,256.7
2022-09-01,Copper, export,2746440.0,11.99
2022-09-01,Copper, import,165101912.0,378.98
2022-09-01,Graphite, export,56536.0,0.08
2022-09-01,Graphite, import,844924.0,0.85
2022-09-01,Lithium, export,168702.0,13.39
2022-09-01,Lithium, import,90852239.0,249.84
2022-10-01,Copper, export,19662440.0,31.02
2022-10-01,Copper, import,120952764.0,376.92
2022-10-01,Graphite, export,59915.0,0.060000000000000005
2022-10-01,Graphite, import,1000038.0,0.61
2022-10-01,Lithium, export,164247.0,12.21
2022-10-01,Lithium, import,81048361.0,227.52
2022-11-01,Copper, export,4207618.0,22.12
2022-11-01,Copper, import,94153181.0,277.23
2022-11-01,Graphite, export,35682.0,0.03
2022-11-01,Graphite, import,1066619.0,0.8500000000000001
2022-11-01,Lithium, export,105010.0,8.16
2022-11-01,Lithium, import,84677043.0,261.73
2022-12-01,Copper, export,5168384.0,26.529999999999998
2022-12-01,Copper, import,101635987.0,329.79
2022-12-01,Graphite, export,41404.0,0.05
2022-12-01,Graphite, import,943995.0,0.86
2022-12-01,Lithium, export,161179.0,13.26
2022-12-01,Lithium, import,79136277.0,241.15
2023-01-01,Copper, export,14795994.0,43.059999999999995
2023-01-01,Copper, import,92522380.0,300.9
2023-01-01,Graphite, export,32620.0,0.04
2023-01-01,Graphite, import,663831.0,0.6900000000000001
2023-01-01,Lithium, export,120359.0,12.99
2023-01-01,Lithium, import,84216644.0,312.71
2023-02-01,Copper, export,5951939.0,33.36
2023-02-01,Copper, import,69961528.0,216.07
2023-02-01,Graphite, export,0.0,0.0
2023-02-01,Graphite, import,964206.0,0.73
2023-02-01,Lithium, export,1807686.0,9.260000000000002
2023-02-01,Lithium, import,78590227.0,260.88
2023-03-01,Copper, export,6549576.0,31.74
2023-03-01,Copper, import,141614843.0,494.41
2023-03-01,Graphite, export,22460.0,0.05
2023-03-01,Graphite, import,1595498.0,0.99
2023-03-01,Lithium, export,540836.0,14.01
2023-03-01,Lithium, import,67246448.0,316.49
2023-04-01,Copper, export,3125391.0,18.69
2023-04-01,Copper, import,22179156.0,97.62
2023-04-01,Graphite, export,7602.0,0.02
2023-04-01,Graphite, import,548944.0,0.47000000000000003
2023-04-01,Lithium, export,357157.0,11.0
2023-04-01,Lithium, import,82904033.0,280.56
2023-05-01,Copper, export,3433454.0,14.879999999999999
2023-05-01,Copper, import,154164560.0,506.63
2023-05-01,Graphite, export,3062.0,0.0
2023-05-01,Graphite, import,2134441.0,1.27
2023-05-01,Lithium, export,154162.0,8.96
2023-05-01,Lithium, import,98005135.0,288.22999999999996
2023-06-01,Copper, export,12657045.0,21.09
2023-06-01,Copper, import,130773447.0,340.83
2023-06-01,Graphite, export,61104.0,0.06
2023-06-01,Graphite, import,1072291.0,0.59
2023-06-01,Lithium, export,169769.0,8.74
2023-06-01,Lithium, import,91940975.0,218.43
2023-07-01,Copper, export,2193773.0,10.08
2023-07-01,Copper, import,93789182.0,332.96
2023-07-01,Graphite, export,5862.0,0.01
2023-07-01,Graphite, import,1462096.0,1.61
2023-07-01,Lithium, export,114611.0,20.41
2023-07-01,Lithium, import,116825329.0,308.97
2023-08-01,Copper, export,2551418.0,11.290000000000001
2023-08-01,Copper, import,115509828.0,462.58
2023-08-01,Graphite, export,8829.0,0.0
2023-08-01,Graphite, import,1433571.0,1.08
2023-08-01,Lithium, export,128557.0,15.5
2023-08-01,Lithium, import,130982079.0,311.54
2023-09-01,Copper, export,1738714.0,8.5
2023-09-01,Copper, import,78822990.0,336.72999999999996
2023-09-01,Graphite, export,79983.0,0.09
2023-09-01,Graphite, import,1293040.0,0.9600000000000001
2023-09-01,Lithium, export,759082.0,15.69
2023-09-01,Lithium, import,116794731.0,234.75
2023-10-01,Copper, export,2501716.0,10.790000000000001
2023-10-01,Copper, import,96347330.0,336.44
2023-10-01,Graphite, export,10311.0,0.01
2023-10-01,Graphite, import,1739860.0,1.6500000000000001
2023-10-01,Lithium, export,123385.0,12.02
2023-10-01,Lithium, import,117740252.0,253.1
2023-11-01,Copper, export,2494214.0,11.72
2023-11-01,Copper, import,109378118.0,375.05
